  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2  Pa0Nm2     PA1% Pp1Hr   PA2% Pp2Hr  DA0kgm3    DA1% Dp1Hr   DA2% Dp2Hr
  30 200 -67.5 234.76 32.20 15.1 34.29 21.1 2.470E-07  13.22  23.6  36.71  21.4 3.063E-12  13.55  23.3  38.07  21.7
  30 205 -67.5 234.91 32.19 15.1 34.30 21.0 1.984E-07  13.22  23.6  36.71  21.4 2.381E-12  15.21  23.9  36.87  21.7
  30 210 -67.5 235.03 32.18 15.1 34.32 21.0 1.608E-07  17.89  24.9  37.55  21.4 1.879E-12  16.90  24.5  35.35  21.7
  30 215 -67.5 235.12 32.16 15.1 34.33 21.0 1.311E-07  17.89  24.9  37.55  21.4 1.499E-12  19.09  24.8  34.40  21.6
  30 220 -67.5 235.20 32.15 15.1 34.34 21.0 1.071E-07  23.30  25.6  40.17  21.4 1.199E-12  21.23  25.2  33.64  21.6
  30 225 -67.5 235.25 32.13 15.1 34.35 21.0 8.852E-08  23.30  25.6  40.17  21.4 9.719E-13  23.50  25.4  33.14  21.6
  30 230 -67.5 235.30 32.13 15.1 34.35 21.0 7.315E-08  23.30  25.6  40.17  21.4 7.881E-13  23.50  25.4  33.14  21.6
  30 235 -67.5 235.33 32.13 15.1 34.35 21.0 6.076E-08  23.30  25.6  40.17  21.4 6.437E-13  23.50  25.4  33.14  21.6
  30 240 -67.5 235.36 32.13 15.1 34.35 21.0 5.075E-08  23.30  25.6  40.17  21.4 5.297E-13  23.50  25.4  33.14  21.6
  30  80 -62.5 125.23  8.36 16.1  3.16 14.3 1.163E-02  19.85  14.9   6.96  15.0 4.845E-07  15.36  14.9   5.05  15.2
  30  85 -62.5 121.70  5.60 16.1  3.96 14.3 5.548E-03  26.32  15.1   9.48  15.0 2.371E-07  21.46  14.9   6.86  15.2
  30  90 -62.5 120.98  4.65 19.4  5.34 13.0 2.623E-03  28.20  15.1  10.96  14.9 1.126E-07  26.33  14.9  10.16  15.4
  30  95 -62.5 122.55  8.15 21.4  9.22 12.0 1.246E-03  28.69  15.4  13.95  14.4 5.299E-08  29.05  15.1  13.77  15.4
  30 100 -62.5 126.55 10.82 21.6 16.46 11.1 6.018E-04  27.93  15.8  15.55  13.9 2.496E-08  30.34  15.5  18.67  15.1
  30 105 -62.5 132.33 12.51 21.2 25.28 22.2 2.996E-04  25.77  17.0  21.25  12.7 1.195E-08  29.76  15.8  23.72  14.3
  30 110 -62.5 141.19 15.15 20.7 31.95 21.4 1.546E-04  26.16  17.6  25.16  12.0 5.791E-09  26.06  16.1  25.82  13.4
  30 115 -62.5 154.13 17.75 19.6 34.08 21.0 8.352E-05  27.85  18.1  29.65  11.3 2.847E-09  21.90  16.9  26.40  12.3
  30 120 -62.5 169.06 20.53 18.3 33.51 20.9 4.790E-05  30.02  18.4  34.25  22.9 1.464E-09  21.96  17.9  29.36  11.5
  30 125 -62.5 182.90 23.78 17.3 32.31 20.8 2.903E-05  32.31  18.5  38.70  22.5 8.032E-10  24.78  18.5  33.80  22.9
  30 130 -62.5 194.19 27.06 16.6 31.27 20.9 1.836E-05  34.39  18.3  42.72  22.3 4.674E-10  28.05  18.8  38.31  22.6
  30 135 -62.5 202.90 30.03 16.1 30.46 20.9 1.199E-05  36.04  18.1  46.06  22.1 2.844E-10  30.85  18.9  42.31  22.4
  30 140 -62.5 209.54 32.50 15.7 29.92 20.9 8.027E-06  37.09  17.9  48.58  22.0 1.788E-10  33.07  18.9  45.67  22.2
  30 145 -62.5 214.59 34.27 15.5 29.74 21.0 5.481E-06  37.29  17.6  50.17  21.9 1.153E-10  34.87  18.9  48.43  22.1
